age,1th,3th,5th,15th,25th,50th,75th,85th,95th,97th,99th
5,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,19.0
6,12.8,13.2,13.4,14.1,14.5,15.4,16.4,16.9,18.0,18.5,19.4
7,12.9,13.3,13.6,14.3,14.7,15.6,16.7,17.3,18.5,19.0,20.2
8,13.1,13.5,13.8,14.5,14.9,15.9,17.0,17.7,19.1,19.7,21.0
9,13.3,13.7,14.0,14.7,15.2,16.2,17.5,18.3,19.8,20.5,22.1
10,13.5,14.0,14.3,15.1,15.6,16.7,18.0,18.9,20.7,21.5,23.3
11,13.9,14.4,14.7,15.5,16.0,17.2,18.7,19.6,21.6,22.5,24.6
12,14.3,14.8,15.1,16.0,16.6,17.9,19.5,20.5,22.6,23.6,25.9
13,14.8,15.4,15.7,16.6,17.2,18.6,20.3,21.4,23.7,24.8,27.2
14,15.3,15.9,16.3,17.3,17.9,19.4,21.2,22.4,24.7,25.8,28.3
15,15.8,16.4,16.8,17.9,18.6,20.1,22.0,23.2,25.7,26.8,29.3
16,16.2,16.9,17.3,18.5,19.2,20.8,22.8,24.0,26.5,27.7,30.1
17,16.6,17.3,17.7,18.9,19.7,21.4,23.5,24.7,27.2,28.4,30.8
18,16.9,17.6,18.1,19.4,20.2,22.0,24.0,25.3,27.8,28.9,31.2
