age,1th,3th,5th,15th,25th,50th,75th,85th,95th,97th,99th
5,12.4,12.8,13.1,13.8,14.3,15.2,16.3,17.0,18.2,18.7,19.8
6,12.4,12.8,13.1,13.8,14.3,15.3,16.5,17.2,18.6,19.2,20.4
7,12.5,12.9,13.2,14.0,14.5,15.5,16.8,17.6,19.1,19.8,21.2
8,12.6,13.1,13.4,14.2,14.7,15.9,17.2,18.1,19.8,20.6,22.3
9,12.9,13.4,13.7,14.6,15.1,16.3,17.8,18.8,20.7,21.6,23.5
10,13.3,13.8,14.1,15.0,15.6,16.9,18.5,19.5,21.6,22.6,24.8
11,13.7,14.3,14.6,15.6,16.2,17.6,19.3,20.4,22.7,23.8,26.1
12,14.2,14.8,15.2,16.2,16.9,18.4,20.2,21.4,23.9,25.0,27.5
13,14.7,15.4,15.8,16.9,17.6,19.2,21.2,22.4,25.0,26.1,28.8
14,15.2,15.9,16.3,17.4,18.2,19.9,22.0,23.3,25.9,27.1,29.8
15,15.5,16.2,16.7,17.9,18.7,20.5,22.6,24.0,26.7,27.9,30.6
16,15.7,16.5,16.9,18.2,19.1,20.9,23.1,24.5,27.2,28.4,31.1
17,15.8,16.6,17.1,18.4,19.3,21.2,23.4,24.8,27.5,28.8,31.4
18,15.9,16.7,17.2,18.5,19.4,21.3,23.6,25.0,27.7,29.0,31.5
