age,1th,3th,5th,15th,25th,50th,75th,85th,95th,97th,99th
5,62.8,65.9,70.4,81.0,84.6,87.5,89.9,91.3,92.5,93.0,93.3
6,46.8,64.8,67.5,75.8,80.8,86.9,90.2,91.9,93.2,93.3,93.4
7,45.6,51.7,53.5,69.0,77.9,84.8,88.3,90.2,92.6,93.1,93.3
8,41.4,46.3,52.4,66.9,74.6,85.1,89.2,90.5,92.7,92.9,93.0
9,37.5,43.8,47.5,59.7,70.6,84.7,88.6,90.5,92.7,92.9,93.0
10,38.6,44.5,50.8,59.5,65.2,78.2,86.8,89.0,92.1,92.3,92.7
11,41.5,48.0,49.9,62.9,67.3,81.8,87.2,88.7,90.8,91.9,92.6
12,32.4,45.5,47.1,56.1,67.0,78.1,86.2,87.4,92.0,92.2,92.5
13,43.9,47.4,50.7,61.5,68.2,82.6,86.5,87.9,91.8,92.0,92.2
14,42.7,51.8,54.7,67.0,71.7,82.3,86.5,88.9,91.4,92.0,92.0
15,52.9,55.2,57.1,68.3,72.0,81.3,85.8,87.3,90.5,91.2,91.8
16,50.3,57.4,60.9,73.1,78.0,81.2,86.6,90.0,91.9,91.9,92.0
17,65.8,68.8,71.0,74.7,77.3,81.1,84.1,85.7,87.2,87.4,89.3
18,55.3,58.5,63.4,72.0,74.8,80.3,85.5,87.4,90.2,90.6,91.6
19-39,61.0,63.0,65.2,69.2,71.3,76.8,80.6,83.0,86.7,87.5,91.7
