age,1th,3th,5th,15th,25th,50th,75th,85th,95th,97th,99th
5,69.3,70.3,72.3,79.0,80.7,84.2,87.6,88.5,90.0,90.2,91.7
6,63.2,65.8,67.8,74.5,79.7,82.7,85.7,86.5,90.0,90.7,91.4
7,51.1,55.7,57.8,70.3,75.0,81.9,85.2,86.4,90.4,91.5,92.8
8,54.9,57.1,59.0,66.6,73.1,80.6,84.2,84.9,86.8,87.0,88.5
9,48.1,54.9,58.0,65.5,70.4,79.7,83.5,85.2,88.4,89.3,91.4
10,47.2,51.5,55.7,66.5,71.6,79.2,83.6,85.0,87.0,87.7,89.8
11,44.6,52.7,55.8,65.2,69.9,76.3,80.7,81.8,84.7,85.3,86.4
12,48.7,54.3,58.7,62.8,64.9,73.1,76.3,79.3,83.4,85.3,86.4
13,42.9,47.7,50.2,59.9,63.5,70.7,75.3,78.9,81.7,83.3,84.9
14,46.8,49.3,51.8,59.7,62.6,68.6,73.4,74.7,77.6,79.9,81.8
15,46.1,49.5,52.8,59.3,62.2,67.4,71.2,73.1,76.9,77.9,78.2
16,45.0,48.3,52.1,60.8,63.3,67.6,71.7,73.2,76.3,78.3,79.1
17,54.2,54.4,55.1,59.1,64.3,69.0,71.7,74.3,77.7,79.3,81.6
18,49.8,52.8,54.2,59.9,63.0,68.1,72.8,75.1,78.2,78.6,81.7
19-39,48.0,52.0,53.8,60.1,63.2,67.4,71.2,73.2,77.2,78.8,82.7
