age,1th,3th,5th,15th,25th,50th,75th,85th,95th,97th,99th
5,11.42,11.90,11.97,12.21,12.29,12.69,13.09,13.28,13.83,14.02,14.63 
6,11.32,11.60,11.64,12.08,12.34,12.77,13.23,13.54,14.00,14.06,14.44
7,11.85,12.15,12.21,12.42,12.64,13.06,13.49,13.67,13.94,14.16,15.20
8,11.23,11.68,12.16,12.42,12.63,12.99,13.49,13.90,14.40,14.48,14.93
9,11.33,11.84,12.02,12.56,12.74,13.22,13.67,14.09,14.85,14.97,15.41
10,11.97,12.08,12.33,12.88,13.20,13.65,14.17,14.58,15.05,15.38,15.53
11,12.01,12.59,12.80,13.16,13.42,13.76,14.26,14.83,15.62,15.84,16.04
12,10.67,12.38,12.75,13.34,13.80,14.43,15.02,15.43,16.07,16.28,16.53
13,12.58,12.95,13.04,13.91,14.18,14.87,15.43,15.74,16.37,16.77,17.91
14,13.54,13.81,14.04,14.40,14.84,15.49,16.31,16.93,17.59,17.82,18.81
15,13.27,13.57,13.92,14.65,15.03,15.99,17.31,17.75,18.93,19.31,20.19
16,13.76,14.08,14.47,15.38,15.70,16.71,17.59,18.38,19.32,20.64,21.06
17,13.55,14.10,14.15,15.19,15.68,16.71,17.93,18.24,20.67,21.20,23.50
18,13.88,14.30,14.60,15.05,15.76,16.42,17.81,18.58,21.18,22.31,24.73
19-39,14.19,14.57,14.82,15.79,16.47,17.71,18.99,19.82,21.21,21.97,23.17
