age,1th,3th,5th,15th,25th,50th,75th,85th,95th,97th,99th
5,10.73,10.98,11.03,11.46,11.52,12.17,12.52,12.61,13.56,13.75,14.02
6,10.77,10.86,11.10,11.53,11.70,12.16,12.64,13.01,14.14,14.40,14.74
7,10.40,10.44,11.00,11.51,11.81,12.26,12.89,13.37,13.94,14.13,15.39
8,11.08,11.18,11.29,11.60,11.84,12.36,13.31,13.66,14.41,14.85,15.40
9,10.70,11.03,11.16,11.58,11.83,12.43,13.27,13.65,14.18,14.33,15.00
10,10.79,10.95,11.07,11.60,11.85,12.70,13.26,13.60,14.32,14.44,14.81
11,11.41,11.61,11.72,12.13,12.47,13.08,13.72,14.16,14.98,15.13,15.71
12,11.53,11.73,11.90,12.20,12.54,13.12,13.81,14.18,15.74,16.13,17.12
13,11.13,11.76,11.91,12.27,12.57,13.13,13.79,14.07,15.30,15.61,16.44
14,11.96,12.16,12.34,12.60,12.94,13.41,14.10,14.43,15.49,15.87,16.34
15,11.66,11.91,12.08,12.64,12.93,13.50,14.26,14.71,15.68,16.00,16.27
16,11.54,11.76,12.19,12.61,12.77,13.52,14.18,14.50,15.43,15.66,16.14
17,11.64,11.87,12.08,12.55,12.97,13.57,14.30,14.52,15.41,15.61,15.94
18,11.46,12.05,12.18,12.81,13.07,13.66,14.66,15.15,16.36,16.53,16.92
19-39,11.95,12.22,12.38,12.97,13.37,13.92,14.66,15.32,16.99,17.46,18.54
